(all) fucked up	(total) im Arsch
diazocopy	Lichtpause
dibit	Zweibiteinheit
dice	Würfel
dice box	Würfelbecher
dice boxes	Würfelbecher
diced	würfelte
dicer	Würfelspieler
dices	würfelt
dicey	riskant
dichotomizing	binäres
dichotomous	zwiespaltig
dichotomously	zwiespaltige
dichotomousness	Zweiteilungen
dichotomy	auf dem Wert 2 basierend
dichtgepackt	close-packed
dicier	riskanter
diciest	riskanteste
dicing	würfelnd
dick	erigierter Penis (vulgär)
Dick and Harry	Hinz und Kunz
dickering	feilschend
dickers	feilscht
dicks	Schnüffler
dicky	kränklich
dictaphone	Diktierapparat
dictaphones	Diktaphone
dictated	diktierte
dictates	diktiert
dictating	diktierend
dictating machine	Diktiergerät
dictation	Diktat
dictation machine	Diktiergerät
dictator	Diktator
dictatorial	diktatorisch
dictatorially	diktatorische
dictators	Diktatoren
dictatorship	Diktatur
dictatorships	Diktaturen
diction	Diktion
dictionaries	Wörterbücher
dictionary	Lexikon
dictions	Diktionen
dictum	Machtspruch
dictums	geflügelte Worte
did	tat
did damage	schadete
did gymnastics	turnte
did handicrafts	bastelte
did joiner's work	tischlerte
did without	entbehrtest
Did you ever!	Hast du Töne!
Did you get the sack?	Wurden Sie an die Luft gesetzt?
Did you have a nice time?	Haben Sie sich gut unterhalten?
Did you look at yourself in the glass?	Hast du dich im Spiegel gesehen?
Did you straighten out the matter?	Haben Sie die Sache erledigt?
didactic	Lehr...
didactical	didaktische
didactically	didaktisches
didactics	Didaktik
diddle	beschwindeln
diddled	beschwindelte
diddler	Betrüger
diddles	beschwindelt
diddling	beschwindelnd
didn	tat nicht
didn't	tat nicht
Didn't I tell you before?	Habe ich es nicht gleich gesagt?
dido	Freudensprung
didoes	Dummheiten
didot point	typographischer Punkt (Schriftgrößenskala)
die casting	Spritzguss
die of old age	an Altersschwäche sterben
die stock	Schneideisenhalter
died away	ausgeklungen
died off	weggestorben
died out	ausgestorben
died with thirst	verdurstete
died} (of	sterben (an)
dielectric	Dielektrikum
dielectric constant	Dielektrizitätskonstante
dielectric loss factor	dielektrischer Verlustfaktor
dielectric strength	Durchschlagfestigkeit
diereses	Diaeresen
dieresis	Diaerese
dies	stirbt
dies away	verhallt
dies with thirst	verdurstet
diesel	Diesel
diesel engine	Dieselmotor
diesel fuel	Dieselkraftstoff
diet	Diät
dietaries	Diätvorschriften
dietary	Diätvorschrift
dieted	hielt Diät
dietetic	diätetisch
dietetic treatment	Ernährungstherapie
dietetically	diätisch
dietetics	Ernährungslehre
dieting	Diät haltend
dietitian	Diätspezialist
diets	Diäten
diff. from above	rechtsseitig differenzierbar [math.]
diff. from below	linksseitig differenzierbar [math.]
differed	wich ab
difference	Differenz
difference of opinion	Meinungsverschiedenheit
difference quotient	Differenzenquotient  [math.]
differenced	unterschieden
differences	Differenzen
differenciate	differenziere
differenciated	differenzierte
differenciates	differenziert
differencing	unterscheidend
different	andersgeartet
different (from)	verschieden (von)
differentiable	differenzierbar
differential	Differential  [math.]
differential calculus	Differentialrechnung  [math.]
differential form	Differentialform  [math.]
differential gear	Ausgleichsgetriebe
differential operator	Differentialoperator  [math.]
differentially	unterschiedlich
differentiate	differenzieren
differentiated	differenzierte
differentiates	differenziert
differentiating	differenzierend
differentiation	Differentiation  [math.]
differently	abweichend
differently minded	andersdenkend
differentness	Verschiedenheit
differentnesses	Verschiedenheiten
differing	abweichend
differs	unterscheidet sich
difficult	schwer
difficult of explanation	schwer zu erklären
difficult to access	schwer zugänglich
difficult to place	schwer vermittelbar
difficult to understand	schwerverständlich
difficulties	Schwierigkeiten
difficulties of breathing	Atembeschwerden
difficulties of supply	Versorgungsschwierigkeiten
difficultly	schwierige
difficulty	Schwierigkeit
difficulty of breathing	Atembeschwerde
diffidence	Schüchternheit
diffident	schüchtern
diffidently	schüchtern
diffraction	Beugung
diffractive	beugend
diffused	verbreitete
diffusedly	zerstreut
diffusely	weitschweifig
diffuseness	Weitschweifigkeit
diffuses	verbreitet
diffusibility	Diffusionsvermögen
diffusible	diffusionsfähig
diffusibly	diffusionsfähige
diffusing	verbreitend
diffusion	Diffusion
diffusion layer	Diffusionsschicht
diffusion transistor	Diffusionstransistor  (Transistorherstellungsart)
diffusiveness	Verbreitung
diffusor	Diffusor
dig (at)	Anspielung  (gegen)
digest	Übersicht
digested	verdaute
digestibility	Verdaulichkeit
digestible	bekömmlich
digesting	verdauend
digestion	Verdauung
digestive	verdauungsfördernd
digests	verdaut
digged	gegraben
digger	Gräber
diggers	Gräber
digging	grabend
digging off	abgrabend
digging out	ausgrabend
digging up	umgrabend
diggings	Bude
digit	Stelle
digital	digital
digital computer	Digitalrechner
digital control	Digitale Steuerung
digital input unit	Digital-Eingabeeinheit
digital output unit	Digital-Ausgabeeinheit
digital readouts	digitale Anzeige
digital transmitter	Digitalzeichengeber
digital-analog converter	Digital/Analog-Umsetzer
digitalis	Digitalis
digitalization	Digitalisierung
digitalize	digitalisieren
digitally	digital
digitization	Digitalisierung
digitize	digitalisieren
digitized	digitalisierte
digitizer	Digitalisierer
digitizes	digitalisiert
digitizing	digitalisierend
digits	Ziffern
dignified	gediegen
dignifiedly	würdig
dignifies	ehrt
dignifying	ehrend
dignitaries	Würdenträger
dignitary	Würdenträger
dignities	Erhabenheiten
dignity	Erhabenheit
dignity of man	Menschenwürde
digraph	Digraph
digressed	abgeschweift
digresses	schweift ab
digressing	abschweifend
digression	Abschweifung
digressions	Abschweifungen
digressive	abschweifend
digressively	abschweifende
digressiveness	Abwegigkeit
digs	gräbt
dike	Deich
diked	eingedämmt
dikes	Deiche
diking	eindämmend
dilapidate	ruinieren
dilapidated	baufällig
dilapidates	ruiniert
dilapidating	ruinierend
dilapidation	Verfall
dilapidations	Zerstörungen
dilatable	dehnbar
dilatation	Ausdehnung
dilated	erweiterte
dilates	erweitert
dilating	erweiternd
dilation	Erweiterung
dilations	Erweiterungen
dilative	dehnbare
dilatorily	aufschiebend
dilatoriness	Zaudern
dilatory	aufschiebend
dilemma	Dilemma
dilettante	Dilettant
dilettantes	Dilettanten
dilettantish	dilettantisch
dilettantism	Dilettantismus
diligence	Fleiß
diligent	fleißig
diligently	fleißig
dill	Dill
diluent	Verdünnungsmittel
diluted	verdünnte
diluter	Verdünner
dilutes	verdünnt
diluting	verdünnend
dilution	Verdünnung
diluvial	sintflutlich
diluvian	Sintflut
dim	dunkel
dim light	Abblendlicht
dim out	abblenden
dimension	Abmessung
dimension accuracy	Maßgenauigkeit
dimension arrow head	Maßpfeil
dimension line	Maßlinie
dimensional	dimensional
dimensionally	dimensionales
dimensioned	dimensionierte
dimensioning	Ausdehnung
dimensionless	ohne Dimension
dimensions	Dimensionen
diminishable	abnehmbar
diminished	verminderte
diminishes	vermindert
diminishing	vermindernd
diminishment	Verkleinerung
diminishs	vermindert
diminuendo	abnehmend
diminution	Verminderung
diminutions	Verminderungen
diminutive	verkleinernd
diminutively	winzig
diminutiveness	Kleinheit
diminutives	Diminutive
dimly	trübe
dimmed	abblenden
dimmed headlight	Abblendlicht
dimmer	Abdunkelungsvorrichtung
dimmest	düsterste
dimming	verdunkelnd
dimness	Düsterkeit
dimout	Abdunklung
dimouts	Teilverdunkelung
dimpled	gekräuselt
dimples	kräuselt
dimpling	kräuselnd
dimply	gekräuselt
dims	trübt
dimwit	Doofmann
dimwits	Dummen
dimwitted	dämlich
dimwittedness	Dämlichkeit
din	Getöse
dine	diniere
dined	dinierte
diner 	Speisewagen
dines	diniert
dinette	Essnische
dinettes	Essecken
dinghies	Schlauchboote
dinghy	Jolle
dingier	schäbiger
dingiest	schäbigste
dingily	schmutzig
dinginess	Schäbigkeit
dingle	Waldschlucht
dingles	Waldschluchten
dingy	schmutzig
dining	dinierend
dining area	Speiseraum
dining car	Speisewagen
dining hall	Speisesaal
dining room	Esszimmer
dining table	Esstisch
dinkier	niedlicher
dinkiest	niedlichste
dinkiness	Niedlichkeit
dinky	niedlich
dinned	dröhnte
dinner	Abendessen
dinner guest	Tischgast
dinner guests	Tischgäste
dinner is served	bitte zu Tisch
dinner is served!	das Essen ist angerichtet!
dinner-jacket	Smoking
dinning	dröhend
dinosaur	Dinosaurier
dins	dröhnt
dint	Beule
diocese	Diözese
diode	Diode
diorama	Durchscheingemälde
dioxide	Dioxyd
dip	Beschichtung
dip brazing	Tauchlöten
dip soldering	Tauchlöten
dip switch	Abblendschalter
dip 	Dip
diphteria	Diphterie
diphtheria	Diphtherie
diphtherial	diphtherisch
diphtheritic	diptherischer
diploma	Diplom
diploma thesis	Diplomarbeit
diploma 	Abgangszeugnis
diplomacy	Diplomatie
diplomas	Diplome
diplomate	Diplomat
diplomates	Diplomaten
diplomatic	diplomatisch
diplomatic bag	Kuriergepäck
diplomatic mission	diplomatische Vertretung
diplomatically	diplomatisches
diplomatics	Urkundenlehre
dipole	Dipol
dipped	eingetaucht
dipped in	gestippt
dipped into	eingetaucht
dipper	Kelle
dippers	Kellen
dipping	eintauchend
dipping in	stippend
dipping into	eintauchend
dippy	verdreht
dips	taucht
dips in	stippt
dipstick	Messstab
dire	grässlich
direct	direkt
direct access	Direktzugriff
direct access storage	Direktzugriffsspeicher
direct addressing	direkte Adressierung
direct and straight forward	rundheraus
direct current	Gleichstrom
direct debit	direkte Belastung
direct debit mandate	Einzugsermächtigung
direct debiting	Abbuchungsverfahren
direct debiting scheme	Lastschriftverfahren
direct debiting system	Lastschriftverfahren
direct distance dialing	Selbstwählferndienst
direct drive	Direktantrieb
direct hit	Volltreffer
direct object	Akkusativobjekt
direct one's attention to	seinen Augenmerk richten auf
direct payer	Selbstzahler
direct sum	direkte Summe  [math.]
direct-access	Direktzugriff
directed	gelenkt
directed by	unter der Regie von
directing	leitend
direction	Anweisung
direction finding	Funkpeilung
direction indicator	Fahrtrichtungsanzeiger
direction of motion	Bewegungsrichtung
directional coupler	Richtungskoppler
directional derivative	Richtungsableitung  [math.]
directions	Gebrauchsanweisung
directions for use	Bedienungsanleitung
directive	Anweisung
directives	Anweisungen
directly	direkt
directness	Unmittelbarkeit
director	Direktor
Director	Regie  (im Vorspann)
director	Sollwertgeber
directorate	Direktorenstelle
directories	Verzeichnisse
directorship	Direktorat
directory	Dateiverzeichnis
directorys	Verzeichnisse
directs	leitet
direful	grässlich
direfully	grässlichen
direly	grässliche
direness	Entsetzlichkeit
direr	grässlicher
direst	grässlichste
dirge	Klagelied
dirges	Klagelieder
dirigible	lenkbar
dirigibles	lenkbare Luftschiffe
dirigibly	lenkbar
dirk	Dolch
dirt	Dreck
dirt track	Sandbahn
dirtied	beschmutzte
dirtier	schmutziger
dirties	beschmutzt
dirtiest	schmutzigste
dirtiness	Sauerei
dirty	dreckig
dirty fellow	Schmierfink
dirty mind	schmutzige Phantasie
Dirty trick!	Gemeinheit!
dirtying	beschmutzend
disabilities	Unfähigkeiten
disability	Erwerbsunfähigkeit
disability insurance	Invalidenversicherung
disability pension	Invalidenrente
disabled	arbeitsunfähig
disabled people	Invaliden
disabled person	Invalide
disablement	Arbeitsunfähigkeit
disablement pension	Invalidengrenze
disabling	unfähig machend
disabused	eines Besseren belehrt
disabuses	belehrt
disabusing	aufklärend
disaccord	Widerspruch
disaccorded	stimmte nicht überein
disaccording	nicht übereinstimmend
disaccords	Widersprüche
disadvantage	Benachteiligung
disadvantaged	benachteiligt
disadvantageous	nachteilig
disadvantageously	nachteilige
disadvantageousness	Schädlichkeit
disadvantages	Benachteiligungen
disaffected	unzufrieden
disaffectedly	unzuverlässig
disaffecting	unzufrieden machend
disaffection	Unzufriedenheit
disaffects	macht unzufrieden
disaffirmation	Ablehnung
disaffirmations	Ablehnungen
disagree	nicht übereinstimmend
disagreeability	Unannehmlichkeit
disagreeable	unangenehm
disagreeableness	Unannehmlichkeiten
disagreeably	unangenehm
disagreed	stimmte nicht zu
disagreeing	nicht zustimmend
disagreement	Uneinigkeit
disagreements	Unstimmigkeiten
disagrees	stimmt nicht zu
disallowance	Nichtanerkennung
disallowed	verweigerte
disallowing	verweigernd
disallows	verweigert
disappearance	Verschwinden
disappeared	verschwand
disappearing	verschwindend
disappears	verschwindet
disappointed	enttäuscht
disappointing	enttäuschend
disappointingly	enttäuschende
disappointment	Enttäuschung
disappointments	Enttäuschungen
disappoints	enttäuscht
disapprobation	Missbilligung
disapproval	Missbilligung
disapprovals	Missbilligungen
disapproved	missbilligetem
disapproves	missbilligt
disapproving	missbilligend
disapprovingly	missbilligende
disarmament	Abrüstung
disarmament conference	Abrüstungskonferenz
disarmed	abgerüstet
disarming	abrüstend
disarmingly	entwaffnende
disarms	entwaffnet
disarranged	verwirrte
disarranges	verwirrt
disarranging	verwirrend
disarray	in Unordnung bringen
disarraying	in Unordnung bringend
disassembled	disassembliert
disassembler	Disassemblerprogramm
disassembles	zerlegt
disassemblies	Demontagen
disassembling	disassemblierend
disassembly	Demontage
disassociated	getrennt
disassociates	trennt
disassociating	trennend
disassociation	Verfremdung
disaster	Unglück
disasterous	unheilvoll
disasterously	unheilvoll
disasters	Unglücke
disastrous	katastrophal
disastrously	katastrophale
disastrousness	Unglückseligkeit
disavowal	Nichtanerkennung
disavowed	leugnete ab
disavowing	ableugnend
disavows	leugnet ab
disbanded	entlassen
disbanding	auflösend
disbandment	Auflösung
disbandments	Auflösungen
disbands	entlässt
disbelief	Unglaube
disbelieved	bezweifelte
disbeliever	Ungläubige
disbelievers	Ungläubigen
disbelieves	bezweifelt
disbelieving	bezweifelnd
disbelievingly	bezweifelnde
disburden	entlasten
disburdened	entlastete
disburdening	entlastend
disburdens	entlastet
disburse	auszahlen
disbursed	ausgezahlt
disbursement	Ausgabe
disbursements	Ausgaben
disburses	bezahlt
disbursing	auszahlend
disc	Scheibe
disc brake	Scheibenbremse
disc clutch	Scheibenkupplung
disc film	Disc Film
disc piston	Scheibenkolben
disc recording	Schallplattenaufnahme
discarded	abgelegt
discarding	ablegend
discards	legt ab
discerned	erkannte
discernible	erkennbar
discernibly	erkennbare
discerning	erkennend
discerningly	kritisch
discernment	Einsicht
discernments	Einsichten
discerns	erkennt
discette	Diskette
discharge	Abfluß
discharge lamps	Entladungslampen
discharge papers	Entlassungspapiere
dischargeable	versehbar
discharged	abgesetzt
discharged into	eingemündet
discharger	Entlader
discharges	Absetzungen
discharging	absetzend
discharging into	einmündend
disciple	Jünger
disciples	Schüler
discipleship	Anhängerschaft
disciplinarian	Vorgesetzte
disciplinarians	Vorgesetzten
disciplinary	disziplinarisch
disciplinary action	Disziplinarverfahren
disciplinary punishment	Disziplinarstrafe
discipline	Benehmen
disciplined	diszipliniert
disciplines	diszipliniert
disciplining	disziplinierend
disclaimed	dementierte
disclaimer	Ablehnungshinweis
disclaiming	ablehnend
disclaims	dementiert
disclosed	enthüllte
discloses	enthüllt
disclosing	aufdeckend
disclosure	Bekanntmachung
disclosures	Enthüllungen
discobolus	Diskuswerfer
discographies	Schallplattenverzeichnisse
discography	Diskographie
discoloration	Verfärbung
discolorations	Verfärbungen
discolored	verfärbte
discoloring	entfärbend
discolors	entfärbt
discoloured	entfärbte
discolouring	entfärbend
discolours	entfärbt
discombobulated	verworren
discombobulates	verwirrt
discombobulating	verwirrend
discomfited	besiegte
discomfiting	besiegend
discomfits	besiegt
discomfiture	Niederlage
discomfitures	Niederlagen
discomfort	Unbehagen
discomforting	unbehaglich
discomforts	Beschwerden
discommoded	belästigte
discommodes	belästigt
discommoding	belästigend
discomposed	regte auf
discomposes	regt auf
discomposing	aufregend
discomposure	Aufregung
disconcerted	verdutzte
disconcertedness	Verlegenheit
disconcerting	befremdend
disconcertingly	peinliche
disconcerts	verdutzt
disconnected	entfernt
disconnectedly	getrennt
disconnectedness	Trennung
disconnecting	trennend
disconnecting time	Abschaltzeit
disconnection	Ausschaltung
disconnects	trennt
disconsolate	trostlos
disconsolately	trostlose
discontent	unzufrieden
discontented	missmutig
discontentedly	unzufriedene
discontentedness	Unzufriedenheiten
discontenting	unzufriedenen
discontentment	Unzufriedenheit
discontinuances	Unterbrechungen
discontinued	unterbrach
discontinues	unterbricht
discontinuing	unterbrechend
discontinuities	Unterbrechungen
discontinuity	Unstetigkeit
discontinuous	unstetig
discontinuously	unzusammenhängend
discord	Dissonanz
discordance	Dissonanz
discordancy	Nichtübereinstimmung
discordant	uneinig
discordantly	uneinige
discotheque	Diskothek
discount	Abschlag
discount houses	Wechselbank
discount ticket	Rabattmarke
discountable	diskontfähig
discounted	diskontierte
discounter	Wechselmakler
discounting	diskontierend
discounts	Abzüge
discouraged	entmutigt
discouragement	Entmutigung
discourages	entmutigt
discouraging	entmutigend
discouragingly	entmutigende
discoursed	hielt eine Rede
discourser	Redner
discourses	redet
discoursing	Rede haltend
discourteous	unhöflich
discourteously	unhöflich
discourteousness	Unhöflichkeiten
discourtesy	Unhöflichkeit
discoverable	feststellbar
discovered	entdeckt
discoverer	Entdecker
discoverers	Entdecker
discoveries	Entdeckungen
discovering	entdeckend
discovers	entdeckt
discovery	Entdeckung
discredit	Verruf
discreditable	entehrend
discreditably	entehrend
discrediting	in Verruf bringend
discreet	dezent
discreetly	diskrete
discreetness	Verschwiegenheit
discrepancies	Diskrepanzen
discrepancy	Abweichung
discrepant	diskrepant
discrepantly	diskrepants
discret	verschwiegene
discrete	diskret
discretely	getrennte
discreteness	Unbeständigkeit
discretion	Diskretion
discretionary	Handlungsfreiheit
discriminated	benachteiligte
discriminates	benachteiligt
discriminating	benachteiligend
discriminatingly	unterscheidend
discrimination	Diskriminierung
discriminations	Diskriminierungen
discriminative	unterschiedlich
discriminatively	unterschiedliche
discriminator	Impulsunterscheider
discriminatory	charakteristisch
discs	Scheiben
discursive	abschweifend
discursively	abschweifende
discursiveness	Unbeständigkeit
discus	Diskus
discuses	Wurfscheiben
discuss	Diskussion
discussed	behandeln
discusses	behandelt
discussible	diskutierbar
discussing	beredend
discussion	Besprechung
discussion equipment	Diskussionsanlage
discussion meeting	Diskussionsveranstaltung
discussion meetings	Diskussionsveranstaltungen
discussions	Diskussionen
disdained	verachtete
disdainful	schnöde
disdainfully	verachtungsvolle
disdaining	verachtend
disdains	verachtet
disease	Erkrankung
diseased	krank
diseases	Erkrankungen
disembarkation	Ausschiffung
disembarked	ausgestiegen
disembarking	landend
disembarkment	Landung
disembarks	landet
disembodied	entkörperlichte
disembodies	entkörperlicht
disembodiment	Entkörperlichung
disembody	entkörperlichen
disembodying	entkörperlichend
disembogued	mündete
disembogues	mündet
disemboguing	mündend
disembowelled	weidete aus
disembowelling	ausweidend
disembowels	weidet aus
disenchant	desillusionieren
disenchanted	desillusionierte
disenchanting	desillusionierend
disenchantment	Ernüchterung
disenchantments	Ernüchterungen
disenchants	desillusioniert
disencumber	entlasten
disencumbered	entlastete
disencumbering	entlastend
disencumbers	entlastet
disengage	freimachen
disengaged	freigemacht
disengagement	Losgelöstsein
disengages	befreit
disengaging	freimachend
disentangled	entwirrte
disentanglement	Loslösung
disentangles	entwirrt
disentangling	entwirrend
disequilibrium	Unausgeglichenheit
disestablish	abschaffen
disestablished	schaffte ab
disestablishes	schafft ab
disestablishing	abschaffend
disestablishment	Trennung
disfavor	Missfallen
disfavored	missbilligte
disfavoring	missbilligend
disfavors	missbilligt
disfavour	Missfallen
disfavoured	missbilligten
disfavouring	missbilligende
disfiguration	Entstellung
disfigured	entstellte
disfigurement	Entstellung
disfigures	entstellt
disfiguring	entstellend
disgorged	ausgespuckt
disgorges	wirft aus
disgorging	ausspuckend
disgrace	Blamage
disgraced	blamierte
disgraceful	schmachvoll
disgracefully	schmachvolle
disgracefulness	Schande
disgraces	blamiert
disgracing	blamierend
disgruntled	verärgerte
disgruntlement	Verstimmung
disgruntles	verärgert
disgruntling	verärgernd
disguise	Mummenschanz
disguised	verkleidet
disguises	verkleidet
disguising	verkleidend
disgust	Abstoß
disgust (at)	Ekel  (vor)
disgusted	abgestoßen
disgusted with	überdrüssig
disgustedly	angeekelt
disgusting	anekelnd
disgusting!	pfui Teufel!
disgustingly	ekelhafte
disgusts	empört
dish	Gericht
dish antenna	Parabolantenne
dish cloth	Spüllappen
disharmonies	Disharmonien
disharmonious	unharmonisch
disharmoniously	unharmonische
disharmony	Disharmonie
dishcloth	Abwaschtuch
disheartened	entmutigt
disheartening	entmutigend
dishearteningly	entmutigende
disheartens	entmutigt
dished up	aufgetischt
dishes	Essgeschirr
disheveled	zerzauste
disheveling	verwirrend
dishevelment	Verwirrung
dishevels	verwirrt
dishing	auftischend
dishing up	auftischend
dishonest	unehrlich
dishonestly	unehrlich
dishonesty	Unehrlichkeit
dishonor	entehren
dishonorable	entehrend
dishonorableness	Ehrlosigkeit
dishonorably	entehrend
dishonored	entehrte
dishonoring	entehrend
dishonors	entehrt
dishonour	entehren
dishonourable	ehrlos
dishonourably	ehrlos
dishrack	Abtropfbrett
dishrag	Abwaschlappen
dishtowel	Geschirrtuch
dishtowels	Geschirrtücher
dishwasher	Geschirrspülmaschine
dishwater	Aufwaschwasser
disillusion	desillusionieren
disillusioned	desillusionierte
disillusioning	desillusionierend
disillusionment	Ernüchterung
disillusions	desillusioniert
disincentive	Abhaltung
disinclination	Abneigung
disinclinations	Abneigungen
disincline	abgeneigt machen
disinclined	abgeneigt
disinclines	macht abgeneigt
disinclining	abgeneigt machend
disinfect	desinfiziere
disinfectant	Desinfektionsmittel
disinfected	desinfizierte
disinfecting	desinfizierend
disinfection	Desinfektion
disinfects	desinfiziert
disingenuous	unaufrichtig
disingenuously	unaufrichtige
disingenuousness	Unaufrichtigkeit
disinheritance	Enterbung
disinherited	enterbte
disinheriting	enterbend
disinherits	enterbt
disintagrates	löst auf
disintegrated	aufgelöst
disintegrates	zersetzt
disintegrating	auflösend
disintegration	Zersetzung
disinter	exhumieren
disinterest	Selbstlosigkeit
disinterested	selbstlos
disinterestedly	selbstlose
disinterestedness	Uneigennützigkeit
disinterment	Exhumierung
disinterments	Exhumierungen
disinterred	exhumierte
disinterring	exhumierend
disinters	exhumiert
disjoined	getrennt
disjoining	trennend
disjoins	trennt
disjoint	disjunkt [math.]
disjointed	unzusammenhängend
disjointedly	unzusammenhängende
disjointedness	Zusammenhanglosigkeit
disjointing	zerlegend
disjoints	zerlegt
disjunction	ODER-Verknüpfung
disjunctive	trennend
disjunctively	trennende
disjunktion	Disjunktion
disk	Diskette
disk brake	Scheibenbremse
disk drive	Platteneinheit
disk error	Diskettenfehler
disk file	Plattendatei
disk filter	Spaltfilter
disk full	Diskette oder Festplatte voll
disk is write protect	Diskette ist schreibgeschützt
disk seek error	Kopf-Positionierungsfehler auf Disk oder Platte
disk-oriented	plattenorientiert
disk-resident	plattenspeicherresident
diskette	Diskette
diskettes	Disketten
disketts	Disketten
disks	Disketten
dislikable	zuwider
dislike	Abneigung
disliked	abgelehnt
dislikes	kann nicht leiden
disliking	ablehnend
dislocated	ausgerenkt
dislocates	verrenkt
dislocating	ausrenkend
dislocation	Versetzung  (eines Halbleiters)
dislodged	entfernte
dislodgement	Entfernung
dislodges	entfernt
dislodging	entfernend
disloyal	treubrüchig
disloyally	Abtrünnigkeit
dismal	düster
dismally	düstere
dismalness	Düsterkeit
dismantled	abgebaut
dismantlement	Demontage
dismantlements	Demontagen
dismantles	demontiert
dismantling	Abbau
dismay	Bestürzung
dismayed	bestürzt
dismaying	erschreckend
dismays	erschrickt
dismembered	zergliederte
dismembering	zergliedernd
dismemberment	Zerstückelung
dismembers	zergliedert
dismissal	Amtsenthebung
dismissals	Entlassungen
dismissed	entlassen
dismisses	entlässt
dismissing	entlassend
dismounted	abgesessen
dismounting	absitzend
dismounts	sitzt ab
disobedience	Unfolgsamkeit
disobedient	unfolgsam
disobediently	ungehorsam
disobeyed	missachtete
disobeyes	gehorcht nicht
disobeying	missachtend
disobeys	missachtet
disorder	Unordnung
disordered	zerrüttet
disordering	in Unordnung bringend
disorderliness	Unordnung
disorderly	ungeregelt
disorders	Störungen
disorganize	desorganisieren
disorganized	desorganisierte
disorganizes	desorganisiert
disorganizing	desorganisierend
disorientation	Verwirrung
disoriented	labil
disorienting	verwirrend
disorients	verwirrt
disowned	abgelehnt
disowning	ablehnend
disowns	lehnt ab
disparaged	herabgesetzt
disparagement	Verunglimpfung
disparagements	Verunglimpfungen
disparages	verunglimpft
disparaging	abschätzig
disparagingly	geringschätzige
disparate	ungleichartig
disparately	ungleichartige
disparateness	unvergleichbare Dinge
disparities	Ungleichheiten
disparity	Disparität
dispassion	Sachlichkeit
dispassionate	leidenschaftslos
dispassionately	leidenschaftslose
dispassionateness	Gelassenheit
dispatch	Abgang  (Warenversand)
dispatch department	Versandabteilung
dispatch note	Versandanzeige
dispatch of goods	Güterabfertigung
dispatch office	Abfertigungsstelle
dispatched	abgefertigt
dispatcher	Rechenzeitverteiler
dispatches	Abfertigungen
dispatching	abfertigend
dispelled	vertreiben
dispelling	vertreibend
dispels	vertreibt
dispensable	entbehrlich
dispensablier	entbehrlicher
dispensabliest	entbehrlichst
dispensaries	Apotheken
dispensary	Arzneiausgabe
dispensation	(göttliche) Fügung
dispensation with	Verzicht  auf
dispensed	dispensierte
dispenser	Abroller
dispenses	teilt aus
dispensing	austeilend
dispersal	Zerstreuung
dispersed	auseinandergetrieben
disperses	versprengt
dispersible	zerlegbar
dispersing	auseinandertreibend
dispersion	Feinverteilung
dispersive	zerstreuende
dispersively	zerstreuendes
dispersiveness	Verbreitung
dispirited	entmutigte
dispiritedly	mutlose
dispiritedness	Mutlosigkeit
dispiriting	entmutigend
dispirits	entmutigt
displaced	verdrängte
displaced by	überlagert von (neuen Problemen)
displacement	Abstand
displacement address	Distanzadresse
displacements	Verschiebungen
displaces	verdrängt
displacing	verdrängend
display	Ansicht
display device	Sichtgerät
display material	Ausstellungsmaterial
display opening	Schauöffnung
display terminal	Bildschirmstation
display unit	Anzeigegerät
displayable	ausgebbar
displayed	angezeigt
displaying	zeigend
displays	gibt aus
displeased	missfallen
displeases	missfällt
displeasing	missfallend
displeasingly	unangenehme
displeasure	Missfallen
disported	vergnügte sich
disports	vergnügt sich
disposability	Verfügbarkeit
disposable	verfügbar
disposal	Anordnung
disposal technology	Entsorgungstechnik
disposed	angeordnet
disposes	ordnet an
disposing	anordnend
disposition	Anordnung
dispositions	Anordnungen
dispossessed	enteignete
dispossesses	enteignet
dispossessing	enteignend
dispossession	Enteignung
dispossessor	Enteigner
dispraise	tadeln
dispraised	getadelt
dispraises	tadelt
dispraising	tadelnd
disproof	Widerlegung
disproofs	Widerlegungen
disproportion	Missverhältnis
disproportional	unverhältnismäßig
disproportionate	unverhältnismäßige
disproportionately	unverhältnismäßiges
disproportionateness	Missverhältnis
disproportions	Missverhältnisse
disprovable	widerlegbar
disproved	widerlegte
disproves	widerlegt
disproving	widerlegend
disputability	Streitbarkeit
disputable	strittig
disputant	Disputant
disputants	Disputanten
disputation	Disputation
disputations	Disputationen
disputatious	streitsüchtig
disputatiously	streitsüchtige
disputatiousness	Streitsucht
dispute	Streit
disputed	disputierte
disputes	streitet
disputing	disputierend
disqualification	Disqualifikation
disqualified	disqualifizierte
disqualifies	disqualifiziert
disqualifying	disqualifizierend
disquieted	beunruhigte
disquieting	beunruhigend
disquietingly	beunruhigende
disquiets	beunruhigt
disquietude	Unruhe
disquisition	Abhandlung
disregarded	missachtete
disregardful	ignorierend
disregarding	missachtend
disregards	missachtet
disrepair	Verfall
disreputable	verrufen
disreputableness	Gemeinheit
disreputably	verrufene
disrepute	Schande
disrespect	Nichtachtung
disrespectful	respektlos
disrespectfully	respektlose
disrespectfulness	Unehrerbietigkeit
disrobe	entkleiden
disrobed	entkleidete
disrobes	entkleidet
disrobing	entkleidend
disroot	entwurzeln
disrooted	entwurzelte
disrooting	entwurzelnd
disroots	entwurzelt
disrupted	zerriss
disrupting	zerreißend
disruption	Zerrüttung
